,age,dsl,dt,fwf
6.38,6.37,-0.09583224521764677,630719999.9999866,55002.6521575166
6.41,6.395,-0.20285194852890243,946080000.000008,77617.54330232333
6.42,6.415,-0.06549694618206914,315359999.9999933,75183.58231199115
6.43,6.425,-0.058183523107952606,315359999.9999933,66788.54440981509
6.44,6.4350000000000005,-0.04881022283142977,315360000.0000213,56028.98485849944
6.45,6.445,-0.036083814708573136,315359999.9999933,41420.41135370291
6.46,6.455,-0.014399283824295672,315359999.9999933,16528.85827116674
6.48,6.470000000000001,0.04201582798568548,630720000.0000145,-24114.868294675598
6.49,6.485,0.0416494823981437,315359999.9999933,-47809.21051537398
6.5,6.495,0.023387848310587156,315359999.9999933,-26846.781736531993
6.52,6.51,0.05436709254613881,630719999.9999866,-31203.84243674319
6.53,6.525,0.028101468823786835,315360000.0000213,-32257.520656424873
6.54,6.535,0.02823018074757888,315359999.9999933,-32405.26836194753
6.56,6.55,0.05273247541152726,630719999.9999866,-30265.658452202675
6.57,6.5649999999999995,0.005121712133295375,315360000.0000213,-5879.18503377981
6.58,6.575,0.021786505342274776,315359999.9999933,-25008.608998933396
6.59,6.585,0.01380024963097437,315359999.9999933,-15841.230233424747
6.6,6.595,-0.014585925820970402,315359999.9999933,16743.10358698439
6.62,6.609999999999999,-0.018171668986532996,630720000.0000145,10429.579168450015
6.64,6.63,-0.058358132119361805,630719999.9999866,33494.488564195555
6.65,6.645,-0.022392760036165527,315360000.0000213,25704.52540934606
6.66,6.655,-0.008329584928992162,315359999.9999933,9561.484475822
6.67,6.665,-0.021765230212718034,315359999.9999933,24984.18739537067
6.7,6.6850000000000005,-0.03705939129775038,946080000.000008,14180.090108432189
6.71,6.705,-0.034221557309257467,315359999.9999933,39282.73638366142
6.74,6.725,-0.1739510678846088,946080000.000008,66559.15628089363
6.75,6.745,-0.05643485518107205,315359999.9999933,64781.25816701077
6.78,6.765000000000001,-0.14795619798132043,946080000.000008,56612.70047906894
6.82,6.800000000000001,-0.16270210233768,1261440000.000001,46691.21087506351
6.83,6.825,-0.04219124476267844,315359999.9999933,48431.09653757584
6.84,6.835,-0.03950786180937538,315359999.9999933,45350.85608509066
6.87,6.855,-0.14434231465985725,946080000.000008,55229.91491931749
6.9,6.885,-0.163128603181808,946080000.000008,62418.14048686581
6.91,6.905,-0.06165156967573271,315359999.9999933,70769.49588602141
6.92,6.915,-0.049059449137890176,315359999.9999933,56315.07035742205
6.93,6.925,-0.0467480312502806,315359999.9999933,53661.806546809785
